Day,Start Time,End Time,Program,Course code,Course title,Class nbr,Section,Room,Instructor,Actual Class Duration
W,8:30,9:45,CS,CS 412,Algorithms: Design & Analysis,1124,L3,GF-E121,Faisal Alvi,75
T,15:30,16:45,CS,CS 412,Algorithms: Design & Analysis,1126,L4,FF-C200,Waqar Saleem,75
Th,15:30,16:45,CS,CS 412,Algorithms: Design & Analysis,1126,L4,FF-C200,Waqar Saleem,75
F,10:30,11:20,CS,CS 412,Algorithms: Design & Analysis,1121,R1,E-011,TBD .,50
F,14:30,15:20,CS,CS 412,Algorithms: Design & Analysis,1123,R2,E-010,TBD .,50
T,11:30,12:20,CS,CS 412,Algorithms: Design & Analysis,1125,R3,E-003,TBD .,50
W,13:30,14:20,CS,CS 412,Algorithms: Design & Analysis,1127,R4,FF-W242,TBD .,50
F,11:30,12:45,CS,CS 432,GPU Accelerated Computing,1128,L1,FF-W242,Muhammad Mobeen Movania,75
W,11:30,12:45,CS,CS 432,GPU Accelerated Computing,1128,L1,FF-W242,Muhammad Mobeen Movania,75
M,14:25,15:40,CS,CS 451,Computational Intelligence,1129,L1,FF-W242,Syeda Saleha Raza,75
W,14:25,15:40,CS,CS 451,Computational Intelligence,1129,L1,FF-W242,Syeda Saleha Raza,75
T,8:30,9:45,CS,CS 457,Data Science,1130,L1,C-015,Zeehasham Rasheed,75
Th,8:30,9:45,CS,CS 457,Data Science,1130,L1,C-015,Zeehasham Rasheed,75
T,8:30,9:45,CS,CS 458,Natural Language Processing,1131,L1,SFCL,Faisal Alvi,75
Th,8:30,9:45,CS,CS 458,Natural Language Processing,1131,L1,SFCL,Faisal Alvi,75
F,10:00,11:15,CS,CS 491,Capstone (Kaavish) I,1348,C1,GF-E121,Waqar Saleem,75
F,10:00,11:15,CS,CS 492,Capstone (Kaavish) II,1132,C1,FF-E220,Syeda Saleha Raza,75
F,10:00,11:15,CS,CS 492,Capstone (Kaavish) II,1133,C2,E-100,Nadia Nasir,75
F,10:00,11:15,CS,CS 492,Capstone (Kaavish) II,1134,C3,GF-E101,Abdul Samad,75
F,10:00,11:15,CS,CS 492,Capstone (Kaavish) II,1135,C4,GF-E121,Waqar Saleem,75
F,10:00,11:15,CS,CS 492,Capstone (Kaavish) II,1136,C5,FF-W242,Muhammad Mobeen Movania,75
F,8:30,9:45,CS,CS/CE 102/171,Data Structures & Algorithms,1301,L1,FF-N219,Muhammad Mobeen Movania,75
W,8:30,9:45,CS,CS/CE 102/171,Data Structures & Algorithms,1301,L1,FF-N219,Muhammad Mobeen Movania,75
T,11:30,12:45,CS,CS/CE 102/171,Data Structures & Algorithms,1302,L2,GF-C109,Nadia Nasir,75
Th,11:30,12:45,CS,CS/CE 102/171,Data Structures & Algorithms,1302,L2,GF-C109,Nadia Nasir,75
M,13:00,14:15,CS,CS/CE 102/171,Data Structures & Algorithms,1303,L3,C-015,Faiza Azhar,75
W,13:00,14:15,CS,CS/CE 102/171,Data Structures & Algorithms,1303,L3,C-015,Faiza Azhar,75
T,11:30,12:45,CS,CS/CE 102/171,Data Structures & Algorithms,1304,L4,FF-W242,Mohammad Salman,75
Th,11:30,12:45,CS,CS/CE 102/171,Data Structures & Algorithms,1304,L4,FF-W242,Mohammad Salman,75
T,8:30,9:45,CS,CS/CE 102/171,Data Structures & Algorithms,1305,L5,GF-C109,Maria Samad,75
Th,8:30,9:45,CS,CS/CE 102/171,Data Structures & Algorithms,1305,L5,GF-C109,Maria Samad,75
T,13:15,14:30,CS,CS/CE 102/171,Data Structures & Algorithms,1306,L6,E-003,Maria Samad,75
Th,13:15,14:30,CS,CS/CE 102/171,Data Structures & Algorithms,1306,L6,E-003,Maria Samad,75
T,15:30,16:45,CS,CS/CE 102/171,Data Structures & Algorithms,1307,L7,FF-W242,Saba Saeed,75
Th,15:30,16:45,CS,CS/CE 102/171,Data Structures & Algorithms,1307,L7,FF-W242,Saba Saeed,75
M,8:30,11:20,CS,CS/CE 102L/171L,Data Structures & Algo Lab,1083,T1,SFCL,Muhammad Mobeen Movania,170
M,12:30,15:20,CS,CS/CE 102L/171L,Data Structures & Algo Lab,1084,T2,SFCL,Nadia Nasir,170
M,15:30,18:20,CS,CS/CE 102L/171L,Data Structures & Algo Lab,1085,T3,SFCL,Faiza Azhar,170
F,10:30,13:20,CS,CS/CE 102L/171L,Data Structures & Algo Lab,1086,T4,E-003,Mohammad Salman,170
F,14:30,17:20,CS,CS/CE 102L/171L,Data Structures & Algo Lab,1087,T5,W-110,Maria Samad,170
W,8:30,11:20,CS,CS/CE 102L/171L,Data Structures & Algo Lab,1088,T6,E-003,Maria Samad,170
W,11:30,14:20,CS,CS/CE 102L/171L,Data Structures & Algo Lab,1089,T7,E-010,Saba Saeed,170
F,15:50,17:05,CS,CS/CE 224/272,OOP & Design Methodologies,1090,L1,FF-W243,Nadia Nasir,75
W,15:50,17:05,CS,CS/CE 224/272,OOP & Design Methodologies,1090,L1,FF-W243,Nadia Nasir,75
W,11:30,14:20,CS,CS/CE 224L/272L,OOP & Design Methodologies Lab,1091,T1,E-003,Nadia Nasir,170
T,17:15,18:30,CS,CS/CE 353/374,Software Engineering,1298,L1,GF-E121,Mohsin Nagaria,75
Th,17:15,18:30,CS,CS/CE 353/374,Software Engineering,1298,L1,GF-E121,Mohsin Nagaria,75
F,15:30,16:45,CS,CS/CE 353/374,Software Engineering,1299,L2,FF-N219,Abbas Akhtar,75
T,15:30,16:45,CS,CS/CE 353/374,Software Engineering,1299,L2,FF-N219,Abbas Akhtar,75
M,10:00,11:15,CS,CS/CE 353/374,Software Engineering,1300,L3,E-100,Ahsan Jawed,75
W,10:00,11:15,CS,CS/CE 353/374,Software Engineering,1300,L3,E-100,Ahsan Jawed,75
T,13:15,14:30,CS,CS/DES 333/327,Intro to HCI,1082,L1,E-011,Neelma Bhatti,75
Th,13:15,14:30,CS,CS/DES 333/327,Intro to HCI,1082,L1,E-011,Neelma Bhatti,75
T,17:15,18:30,CS,CS/MATH 113,Discrete Mathematics,1092,L1,E-003,Waqar Saleem,75
Th,17:15,18:30,CS,CS/MATH 113,Discrete Mathematics,1092,L1,E-003,Waqar Saleem,75
T,10:00,11:15,CS,CS/MATH 113,Discrete Mathematics,1094,L2,E-012,Muhammad Zafar,75
Th,10:00,11:15,CS,CS/MATH 113,Discrete Mathematics,1094,L2,E-012,Muhammad Zafar,75
T,11:30,12:45,CS,CS/MATH 113,Discrete Mathematics,1096,L3,E-011,Muhammad Zafar,75
Th,11:30,12:45,CS,CS/MATH 113,Discrete Mathematics,1096,L3,E-011,Muhammad Zafar,75
F,14:30,15:45,CS,CS/MATH 113,Discrete Mathematics,1098,L4,FF-N220,Rameez Ragheb,75
W,14:30,15:45,CS,CS/MATH 113,Discrete Mathematics,1098,L4,FF-N220,Rameez Ragheb,75
F,17:15,18:30,CS,CS/MATH 113,Discrete Mathematics,1100,L5,FF-N220,Rameez Ragheb,75
W,17:15,18:30,CS,CS/MATH 113,Discrete Mathematics,1100,L5,FF-N220,Rameez Ragheb,75
T,13:15,14:30,CS,CS/MATH 113,Discrete Mathematics,1104,L7,FF-W242,Huma abid,75
Th,13:15,14:30,CS,CS/MATH 113,Discrete Mathematics,1104,L7,FF-W242,Huma abid,75
M,13:00,14:15,ISCIM,CS/MATH 113,Discrete Mathematics,1340,L8,FF-W243,Rameez Ragheb,75
W,11:30,12:45,ISCIM,CS/MATH 113,Discrete Mathematics,1340,L8,FF-W243,Rameez Ragheb,75
F,17:30,18:20,CS,CS/MATH 113,Discrete Mathematics,1093,R1,GF-E101,Muhammad Munawwar Anwar,50
F,17:30,18:20,CS,CS/MATH 113,Discrete Mathematics,1095,R2,W-321,Shams Arfeen,50
W,17:30,18:20,CS,CS/MATH 113,Discrete Mathematics,1097,R3,W-321,Muhammad Munawwar Anwar,50
Th,13:30,14:20,CS,CS/MATH 113,Discrete Mathematics,1099,R4,W-234,Shams Arfeen,50
Th,10:30,11:20,CS,CS/MATH 113,Discrete Mathematics,1101,R5,E-003,Muhammad Munawwar Anwar,50
F,17:30,18:20,CS,CS/MATH 113,Discrete Mathematics,1105,R7,E-011,Shams Arfeen,50
F,16:00,16:50,CS,CS/MATH 113,Discrete Mathematics,1341,R8,W-234,Shams Arfeen,50
Th,10:00,13:20,CND,DES 203,Designing For & With People,1107,D1,PG-1,Hasan Habib,200
W,13:30,16:50,CND,DES 203,Designing For & With People,1108,D2,CPE HALL,Fatin Nawaz,200
M,8:30,11:20,CND,DES 203L,Designing For & w/h People Lab,1109,T1,FF-W244,Barira Yousuf,170
M,14:30,17:20,CND,DES 203L,Designing For & w/h People Lab,1110,T2,E-010,Barira Yousuf,170
F,14:30,16:10,CND,DES 204,Research in Design,1111,S1,FF-W242,Mishal Khattak,100
M,14:40,16:20,CND,DES 204,Research in Design,1112,S2,C-015,Mishal Khattak,100
F,9:50,11:30,CND,DES 213,Illustration and Protest,1113,D1,FF-W243,Isma Hasan,100
W,9:50,11:30,CND,DES 213,Illustration and Protest,1113,D1,FF-W243,Isma Hasan,100
F,9:50,11:30,CND,DES 217,Creating Comics,1114,J1,C-015,Rohama Malik,100
W,9:50,11:30,CND,DES 217,Creating Comics,1114,J1,C-015,Rohama Malik,100
M,8:30,11:50,CND,DES 303,Design Fictions and Provocatio,1115,D1,PG-1,Isma Hasan,200
F,14:30,17:20,CND,DES 303L,Design Fictions & Provoca Lab,1116,T1,FF-W244,Luluwa Murtaza,170
W,14:30,17:00,CND,DES 318,Digital Aestetics,1354,S1,FF-W244,Mishal Khattak,150
T,10:00,11:15,SDP,DEV 212,Urban Sustainability,1138,S1,C-015,Farhan Anwar,75
Th,10:00,11:15,SDP,DEV 212,Urban Sustainability,1138,S1,C-015,Farhan Anwar,75
M,11:30,12:45,SDP,DEV 224,Development & Environmentalism,1297,L1,W-234,Tajreen Jafri,75
T,11:30,12:45,SDP,DEV 224,Development & Environmentalism,1297,L1,W-234,Tajreen Jafri,75
M,8:30,11:00,SDP,DEV 322,Intro to Program Planning,1139,L1,FF-C200,Shama Dossa,150
T,15:30,16:45,SDP,DEV 324,Education Planning,1333,S1,W-321,Muhammad Aatir Khan,75
Th,15:30,16:45,SDP,DEV 324,Education Planning,1333,S1,W-321,Muhammad Aatir Khan,75
M,10:00,11:15,SDP,ECON 121,Principles of Macroeconomics,1253,L1,FF-W242,Mohammad Moeini Feizabadi,75
W,10:00,11:15,SDP,ECON 121,Principles of Macroeconomics,1253,L1,FF-W242,Mohammad Moeini Feizabadi,75
M,15:50,17:05,SDP,ECON 425,Institutional Economics,1141,S1,FF-W242,Aqdas Afzal,75
W,15:50,17:05,SDP,ECON 425,Institutional Economics,1141,S1,FF-W242,Aqdas Afzal,75
F,14:30,15:45,ECE,EE 212,Electric Network Analysis,1142,L1,C-015,Haleema Qamar,75
W,14:30,15:45,ECE,EE 212,Electric Network Analysis,1142,L1,C-015,Haleema Qamar,75
T,10:00,12:50,ECE,EE 212L,Electric Network Analysis Lab,1143,T1,W-114,Haleema Qamar,170
M,10:30,11:20,ECE,EE 213,Electric Circuits-II,1145,L1,GF-E121,Saad Baig,50
Th,10:30,11:20,ECE,EE 213,Electric Circuits-II,1145,L1,GF-E121,Saad Baig,50
W,10:30,11:20,ECE,EE 213,Electric Circuits-II,1145,L1,GF-E121,Saad Baig,50
T,17:15,18:30,ECE,EE 322,Analog & Digital Communication,1146,L1,W-234,Tariq Mumtaz,75
Th,17:15,18:30,ECE,EE 322,Analog & Digital Communication,1146,L1,W-234,Tariq Mumtaz,75
M,15:30,18:20,ECE,EE 322L,Analog and Digital Comm (Lab),1147,T1,W-111,Tariq Mumtaz,170
T,8:30,9:45,ECE,EE 422,Wireless and Mobile Comm.,1150,L1,E-100,Tariq Mumtaz,75
Th,8:30,9:45,ECE,EE 422,Wireless and Mobile Comm.,1150,L1,E-100,Tariq Mumtaz,75
T,15:30,16:45,ECE,EE 432,Power Electronics,1151,L1,SFCL,Ishtiyaq Makda,75
